Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,1,-4,-4,-1,-2,-5,1,-4
2,2,-3,-3,0,-2,-4,0,-2
3,2,-2,-2,1,-3,-3,0,-1
4,3,-2,-2,1,-4,-1,-1,0
5,3,-2,-1,0,-5,2,-2,0
6,2,-2,1,-1,-6,3,-3,1
7,1,-2,2,-3,-5,5,-4,1
8,0,-2,2,-5,-5,5,-6,2
9,-1,-1,2,-7,-4,6,-8,2
10,-2,-1,2,-8,-3,7,-9,2
11,-4,-1,2,-9,-3,7,-10,2
12,-5,-1,2,-9,-3,8,-12,2
13,-7,-1,3,-8,-3,9,-12,1
14,-7,-1,5,-8,-4,9,-13,1
15,-8,-1,7,-7,-4,10,-14,1
16,-8,0,8,-7,-5,11,-14,2
17,-8,1,9,-7,-5,11,-14,3
18,-7,1,9,-6,-5,10,-14,4
19,-6,2,7,-6,-4,8,-12,5
20,-4,3,4,-5,-4,6,-10,6
21,-3,5,2,-3,-3,4,-7,7
22,-1,7,-1,-2,-3,3,-5,8
23,-1,8,-3,-2,-2,3,-4,9
24,-1,10,-4,-2,-1,5,-3,10
25,-2,10,-6,-2,-1,7,-4,10
26,-3,10,-7,-3,-1,8,-5,10
27,-5,9,-6,-5,0,9,-7,9
28,-6,9,-5,-6,0,10,-8,8
29,-8,9,-3,-7,1,10,-9,8
30,-9,9,0,-8,2,10,-10,8
31,-9,9,1,-8,2,10,-10,8
32,-9,9,2,-8,2,9,-9,8
33,-8,9,2,-8,2,8,-8,8
34,-7,10,2,-7,3,7,-7,9
35,-6,10,2,-6,4,6,-6,10
36,-5,10,3,-5,5,6,-5,11
37,-4,9,3,-3,6,6,-5,12
38,-3,8,3,-2,6,7,-5,11
39,-3,6,2,-1,5,7,-5,9
40,-4,4,3,-1,4,6,-5,6
41,-5,3,5,-2,3,6,-5,3
42,-6,1,6,-3,2,5,-4,0
43,-6,-1,5,-4,0,5,-4,-3
44,-6,-2,4,-5,-1,5,-5,-5
45,-5,-2,3,-5,-2,4,-5,-5
46,-4,-2,2,-5,-2,3,-5,-4
47,-3,-1,1,-4,-2,2,-6,-2
48,-3,1,0,-4,-1,1,-6,1
49,-2,1,-1,-3,0,-1,-5,3
50,-1,1,-2,-2,1,-1,-3,5
51,-1,1,-3,-1,1,-1,-2,5
52,-2,-1,-4,-1,0,-1,-1,4
53,-2,-1,-5,-1,-1,-2,-1,4
54,-3,-1,-3,-1,-1,-2,-2,5
55,-4,1,-2,0,0,-2,-3,7
56,-5,3,0,0,1,-2,-4,9
57,-5,4,1,0,1,-2,-6,10
58,-6,5,2,-1,1,-2,-7,10
59,-7,5,1,-2,0,-1,-8,9
60,-7,5,-1,-3,-2,1,-9,7
61,-7,5,-1,-5,-5,2,-9,6
62,-7,5,-1,-5,-7,4,-9,4
63,-6,4,-1,-6,-9,7,-8,2
64,-5,3,-1,-6,-9,9,-7,1
65,-5,2,0,-6,-9,11,-6,0
66,-5,1,1,-5,-8,12,-5,-1
67,-6,0,2,-5,-7,11,-5,-2
68,-6,-1,4,-4,-6,9,-4,-2
69,-6,-1,4,-3,-6,7,-3,-2
70,-5,0,4,-2,-6,6,-2,-1
71,-4,1,3,-1,-6,6,-1,1
72,-2,1,3,0,-6,6,-1,2
73,-1,1,3,2,-6,6,0,3
74,0,0,3,2,-6,4,1,3
75,0,-1,2,3,-7,2,1,2
76,-1,-2,0,3,-8,0,0,2
77,-1,-2,-1,3,-8,-1,0,2
78,-2,-2,-1,3,-7,-2,0,2
79,-2,-2,0,3,-6,-1,0,2
80,-1,-2,3,3,-6,1,1,2
81,-1,-1,5,3,-6,3,1,3
82,-1,-1,7,3,-7,5,1,3
83,-2,0,8,2,-8,7,1,2
84,-3,0,7,1,-9,10,1,2
85,-3,0,6,0,-9,12,1,0
86,-3,-1,4,-1,-10,13,2,-2
87,-2,-2,3,-1,-12,14,3,-4
88,-1,-3,2,0,-13,15,3,-5
89,0,-3,2,1,-13,15,4,-5
