Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,-7,2,3,4,1,3,0,9
2,-6,-1,1,3,0,1,2,8
3,-5,-4,0,3,-1,-1,4,5
4,-5,-8,0,2,-2,-2,5,3
5,-5,-10,2,1,-3,-1,5,2
6,-6,-10,5,-1,-5,2,4,3
7,-7,-10,7,-1,-6,5,3,5
8,-7,-8,9,-1,-7,8,3,7
9,-8,-6,11,0,-7,11,2,9
10,-8,-3,14,1,-7,14,1,11
11,-9,0,17,2,-7,16,-1,12
12,-10,2,18,2,-5,15,-2,15
13,-11,5,19,3,-3,11,-4,17
14,-12,6,20,2,-2,9,-6,18
15,-13,5,21,1,0,7,-8,16
16,-14,2,22,0,1,5,-10,13
17,-15,0,23,-1,2,4,-11,10
18,-15,-1,22,-2,2,3,-11,8
19,-14,1,19,-2,2,2,-11,9
20,-13,2,16,-1,3,-1,-10,10
21,-11,3,14,0,3,-2,-8,11
22,-8,4,13,0,2,-1,-7,11
23,-6,4,12,0,0,1,-6,11
24,-5,4,12,0,-1,2,-6,11
25,-4,4,10,0,-1,2,-6,11
26,-4,4,8,0,-1,1,-5,11
27,-4,5,5,1,1,-2,-5,11
28,-4,7,3,2,2,-4,-5,13
29,-4,9,0,3,4,-5,-5,14
30,-4,10,-1,3,4,-6,-4,15
31,-5,10,1,3,4,-4,-4,15
32,-6,10,5,2,2,0,-4,14
33,-7,9,8,1,0,4,-5,13
34,-8,8,9,0,-1,7,-6,13
35,-8,7,9,-1,-2,8,-7,13
36,-9,6,9,-2,-2,7,-8,13
37,-10,3,10,-2,-2,7,-9,13
38,-9,1,11,-2,-3,8,-9,12
39,-8,-2,12,-2,-3,8,-9,12
40,-6,-1,11,-1,-3,6,-8,13
41,-4,1,7,-1,-2,4,-6,14
42,-2,3,2,-1,-2,2,-4,16
43,1,5,-2,-1,-3,1,-2,16
44,2,6,-5,-1,-3,-1,0,17
45,2,7,-6,0,-4,-1,1,17
46,3,7,-7,0,-4,0,2,18
47,3,7,-7,1,-4,-1,2,20
48,3,6,-5,1,-4,-1,2,20
49,2,4,-1,1,-3,1,1,21
50,1,3,4,0,-3,3,-1,21
51,-1,4,7,-1,-2,5,-4,22
52,-3,4,9,-2,0,6,-6,24
53,-4,4,9,-3,2,6,-8,25
54,-4,3,9,-3,3,7,-10,25
55,-4,2,9,-4,2,8,-10,23
56,-4,0,9,-3,1,9,-11,22
57,-3,1,9,-3,-1,9,-11,21
58,-2,3,8,-3,-2,8,-10,21
59,0,5,4,-2,-3,8,-8,22
60,2,7,0,-1,-4,8,-6,23
61,4,6,-3,0,-5,8,-4,23
62,6,5,-4,1,-5,7,-2,22
63,7,2,-4,2,-4,6,-1,20
64,8,0,-4,3,-3,3,1,19
65,8,0,-4,3,-1,0,2,19
66,7,2,-4,3,2,-3,2,20
67,6,3,-4,3,4,-5,2,22
68,5,5,-2,2,5,-5,1,23
69,4,5,3,1,5,-4,0,23
70,2,4,9,1,4,-1,-2,22
71,0,2,17,0,3,3,-4,20
72,-2,0,21,-1,2,6,-6,19
73,-3,0,23,-1,2,7,-7,19
74,-4,1,22,-1,3,7,-8,20
75,-5,2,20,-1,3,6,-9,20
76,-6,3,17,0,4,5,-9,20
77,-7,3,16,0,4,5,-8,19
78,-7,2,16,0,3,5,-8,18
79,-6,2,17,1,1,5,-7,18
80,-4,1,17,1,0,4,-6,18
81,-2,1,16,2,-1,3,-5,18
82,-1,0,14,3,-2,1,-3,18
83,1,1,11,4,-2,-1,-1,18
84,1,1,7,4,-2,-2,1,18
85,1,3,3,5,-2,-3,2,16
86,-1,5,-1,5,-2,-3,2,15
87,-3,7,-4,4,-2,-3,2,14
88,-5,8,-5,4,-2,-2,1,14
89,-5,8,-3,3,-1,-2,0,14
90,-5,9,0,2,0,-1,-1,16
91,-4,9,4,2,1,-1,-2,19
92,-3,7,8,1,2,2,-3,20
93,-2,3,12,-1,2,5,-4,19
94,-2,-2,16,-2,2,8,-4,17
95,-2,-7,18,-3,0,11,-5,15
96,-2,-11,18,-4,-3,14,-4,13
97,-2,-12,16,-4,-5,16,-3,12
98,-1,-11,11,-4,-7,16,-1,12
99,1,-9,6,-3,-7,15,2,14
100,3,-7,3,-2,-6,14,4,16
101,4,-7,3,-1,-5,13,6,17
102,4,-8,6,1,-1,10,7,18
103,4,-7,9,2,3,7,7,19
104,4,-4,9,3,6,3,7,21
105,4,0,8,4,9,-2,6,23
106,4,4,5,5,11,-5,6,24
107,3,6,3,5,11,-7,5,25
108,2,8,2,4,11,-7,4,24
109,1,8,4,3,9,-4,2,21
110,-1,8,7,1,9,-1,0,18
111,-1,9,10,-2,9,3,-2,17
112,-2,10,11,-3,10,6,-4,17
113,-2,12,11,-4,11,8,-5,18
114,-1,14,9,-5,13,9,-5,19
115,0,14,8,-6,14,9,-5,19
116,1,13,8,-6,15,8,-5,19
117,2,10,10,-6,16,6,-4,17
118,2,6,12,-5,16,5,-3,16
119,2,2,13,-4,14,4,-2,14
120,2,-1,12,-2,13,4,-1,13
121,2,-2,10,-1,12,4,0,14
122,3,-2,7,1,11,4,0,14
123,4,-2,4,2,10,4,1,16
124,5,-3,3,3,8,5,0,16
125,5,-4,5,4,6,7,0,15
126,6,-4,8,4,3,9,0,14
127,6,-4,8,4,-1,10,0,13
128,6,-3,7,3,-3,9,0,13
129,5,-2,6,3,-3,6,0,13
130,4,-2,5,2,-2,2,0,14
131,4,-2,6,2,0,-2,1,15
132,3,-2,7,2,2,-4,1,15
133,3,-2,10,2,3,-4,1,16
134,2,-1,13,2,4,-2,1,16
135,0,-1,16,1,4,1,2,15
136,-1,-1,18,1,5,2,1,14
137,-2,-2,19,0,6,2,1,14
138,-3,-4,20,-1,6,2,0,13
139,-3,-5,20,-2,7,1,-1,14
140,-3,-6,19,-2,8,1,-3,14
141,-2,-7,19,-3,8,2,-4,15
142,-2,-7,20,-2,8,4,-5,15
143,-1,-9,22,-2,7,6,-4,13
144,-1,-10,24,-1,6,8,-3,11
