Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,-5,-39,-46,3,-61,-23,-6,-85
2,-3,-39,-46,4,-60,-26,-6,-84
3,-2,-39,-47,5,-58,-27,-5,-83
4,0,-39,-50,7,-57,-28,-3,-80
5,1,-37,-52,9,-55,-28,-1,-77
6,1,-33,-51,10,-53,-26,1,-72
7,0,-28,-46,11,-51,-23,2,-67
8,-1,-24,-38,12,-48,-19,2,-63
9,-3,-20,-31,12,-44,-15,2,-59
10,-4,-16,-28,12,-40,-13,1,-56
11,-6,-12,-28,11,-36,-13,-1,-54
12,-7,-8,-31,10,-34,-13,-3,-53
13,-8,-5,-36,9,-33,-13,-5,-52
14,-9,-3,-40,8,-32,-13,-7,-52
15,-10,-3,-41,8,-32,-14,-9,-52
16,-10,-7,-41,8,-33,-15,-11,-55
17,-11,-13,-38,8,-34,-16,-12,-58
18,-11,-19,-34,9,-36,-16,-12,-63
19,-11,-24,-29,9,-39,-16,-13,-68
20,-12,-27,-27,9,-41,-16,-13,-72
21,-12,-27,-28,9,-43,-17,-14,-75
22,-13,-25,-31,9,-45,-18,-14,-76
23,-13,-25,-33,9,-47,-19,-14,-78
24,-12,-26,-34,10,-49,-19,-13,-79
25,-11,-29,-33,12,-50,-18,-12,-80
26,-9,-31,-32,13,-50,-17,-11,-81
27,-8,-31,-32,14,-49,-17,-9,-79
28,-7,-29,-32,15,-48,-16,-7,-76
29,-6,-25,-35,16,-46,-17,-6,-72
30,-5,-22,-37,16,-45,-18,-5,-69
31,-5,-19,-37,16,-44,-18,-4,-67
32,-6,-18,-37,17,-43,-19,-4,-65
33,-7,-15,-37,17,-42,-21,-4,-63
34,-8,-13,-36,18,-41,-22,-5,-61
35,-9,-12,-35,18,-39,-22,-7,-59
36,-10,-11,-35,19,-37,-24,-10,-56
37,-11,-9,-33,19,-34,-27,-11,-54
38,-11,-9,-31,20,-32,-30,-11,-54
39,-11,-11,-27,20,-32,-29,-10,-57
40,-10,-16,-21,20,-33,-27,-9,-60
41,-8,-20,-18,20,-34,-25,-7,-62
42,-5,-22,-18,20,-35,-24,-6,-63
43,-3,-22,-20,20,-37,-24,-5,-62
44,-2,-20,-23,19,-37,-25,-5,-61
45,-1,-17,-28,18,-37,-27,-5,-58
46,-1,-14,-31,19,-37,-28,-6,-57
47,-1,-13,-31,19,-38,-28,-6,-58
48,-1,-14,-29,20,-39,-27,-6,-58
49,0,-13,-28,22,-40,-25,-5,-59
50,1,-13,-27,24,-42,-24,-5,-59
51,1,-16,-25,26,-45,-22,-4,-61
52,2,-21,-22,27,-47,-20,-3,-64
53,3,-25,-21,28,-48,-19,-2,-65
54,4,-25,-23,29,-49,-19,-1,-65
55,5,-22,-28,29,-49,-21,-1,-62
56,5,-17,-33,29,-48,-23,-1,-58
57,4,-11,-36,29,-48,-24,-2,-54
58,1,-8,-37,28,-48,-22,-2,-53
59,-1,-7,-34,27,-49,-20,-3,-53
60,-2,-8,-28,27,-51,-16,-4,-55
61,-3,-9,-21,26,-51,-12,-5,-57
62,-3,-9,-17,26,-50,-12,-5,-56
63,-3,-8,-16,26,-48,-16,-6,-55
64,-2,-10,-17,26,-45,-21,-7,-53
65,-2,-12,-19,26,-43,-23,-7,-53
66,-3,-14,-20,27,-43,-23,-8,-53
67,-3,-16,-21,26,-44,-22,-9,-54
68,-3,-18,-22,26,-47,-19,-10,-56
69,-4,-20,-21,25,-49,-18,-10,-58
70,-5,-20,-21,24,-50,-18,-10,-60
71,-5,-19,-22,24,-52,-18,-10,-61
72,-6,-18,-23,24,-53,-18,-10,-63
73,-6,-18,-24,24,-55,-17,-10,-64
74,-6,-18,-24,24,-55,-17,-10,-64
75,-5,-19,-22,24,-55,-16,-11,-64
76,-5,-21,-20,23,-54,-16,-11,-64
77,-4,-24,-18,23,-53,-16,-12,-64
78,-4,-28,-16,23,-52,-15,-12,-65
79,-4,-31,-16,24,-52,-15,-12,-67
80,-5,-32,-17,24,-52,-14,-12,-68
81,-5,-31,-18,23,-51,-14,-12,-69
82,-6,-29,-19,23,-50,-13,-13,-69
83,-6,-26,-20,22,-49,-12,-14,-69
84,-7,-25,-19,21,-48,-11,-14,-70
85,-7,-26,-18,21,-48,-12,-15,-71
86,-8,-27,-18,20,-48,-12,-16,-71
87,-9,-28,-18,20,-50,-12,-16,-69
88,-11,-28,-16,20,-52,-11,-16,-67
89,-12,-29,-12,20,-55,-8,-16,-66
90,-13,-31,-10,20,-58,-6,-16,-65
91,-13,-34,-12,19,-62,-5,-16,-66
92,-12,-37,-15,19,-64,-5,-14,-67
93,-11,-37,-20,20,-65,-7,-12,-67
94,-10,-35,-25,20,-64,-9,-10,-66
95,-8,-31,-30,21,-62,-11,-7,-64
96,-7,-30,-33,21,-60,-13,-5,-63
97,-6,-29,-33,22,-57,-14,-3,-61
98,-5,-28,-33,23,-55,-16,-2,-59
99,-4,-27,-32,24,-53,-16,-2,-57
100,-4,-27,-29,25,-52,-15,-2,-56
101,-3,-28,-25,25,-52,-13,-3,-56
102,-3,-28,-22,26,-52,-10,-4,-56
103,-3,-27,-20,26,-53,-8,-5,-56
104,-4,-25,-21,25,-53,-6,-6,-56
105,-5,-22,-23,25,-52,-4,-7,-55
106,-6,-20,-24,24,-52,-3,-8,-55
107,-8,-20,-24,23,-52,-3,-9,-56
108,-9,-22,-23,22,-52,-2,-10,-59
109,-10,-25,-20,21,-54,-1,-11,-62
110,-11,-26,-17,21,-55,1,-12,-64
111,-12,-25,-16,21,-56,1,-12,-65
112,-12,-23,-16,21,-57,1,-13,-64
113,-12,-21,-17,21,-58,0,-13,-62
114,-12,-20,-20,21,-58,-2,-13,-61
115,-11,-21,-23,20,-58,-4,-13,-60
116,-11,-23,-26,21,-58,-6,-13,-60
117,-10,-24,-27,21,-58,-6,-13,-60
118,-9,-25,-26,22,-58,-6,-13,-61
119,-8,-27,-24,22,-58,-5,-11,-62
120,-8,-28,-23,22,-57,-3,-10,-63
121,-7,-27,-24,22,-55,-2,-9,-63
122,-5,-25,-27,23,-52,-2,-7,-61
123,-3,-22,-32,24,-49,-5,-6,-58
124,-3,-20,-37,26,-45,-8,-5,-54
125,-2,-17,-42,27,-42,-12,-4,-50
126,-3,-14,-45,28,-40,-14,-4,-47
127,-4,-11,-46,28,-40,-15,-4,-45
128,-4,-8,-46,28,-41,-15,-4,-43
129,-4,-5,-45,27,-42,-14,-4,-42
130,-4,-2,-42,27,-42,-14,-4,-41
131,-3,-1,-40,27,-42,-13,-4,-39
132,-3,-2,-38,27,-44,-11,-4,-39
133,-3,-5,-36,26,-47,-6,-4,-41
134,-3,-10,-34,26,-52,-3,-5,-45
135,-3,-16,-31,25,-55,-3,-5,-49
136,-4,-23,-28,25,-57,-8,-5,-54
137,-5,-28,-29,25,-56,-15,-4,-56
138,-6,-30,-34,26,-53,-22,-4,-56
139,-8,-28,-41,26,-51,-25,-4,-54
140,-9,-24,-49,27,-50,-25,-4,-52
141,-9,-22,-53,27,-51,-21,-4,-51
142,-8,-20,-53,27,-53,-18,-5,-51
143,-7,-20,-49,28,-54,-15,-6,-51
144,-7,-21,-43,28,-54,-13,-6,-52
145,-5,-20,-41,28,-56,-11,-6,-52
146,-4,-19,-40,28,-57,-8,-6,-51
147,-4,-19,-40,28,-59,-7,-6,-50
148,-4,-19,-38,27,-58,-7,-5,-48
149,-4,-19,-37,26,-55,-9,-5,-45
150,-4,-17,-36,25,-51,-11,-4,-41
151,-5,-15,-36,25,-48,-11,-4,-37
152,-5,-14,-36,24,-46,-9,-5,-35
153,-6,-15,-35,23,-47,-6,-6,-35
154,-7,-18,-31,21,-48,-2,-7,-37
155,-8,-21,-25,20,-50,1,-8,-40
156,-10,-23,-21,19,-51,3,-9,-43
157,-10,-24,-21,18,-51,3,-10,-45
158,-10,-23,-24,18,-52,2,-9,-45
159,-9,-22,-27,20,-53,1,-8,-45
160,-7,-23,-28,22,-54,1,-7,-46
161,-5,-24,-30,24,-56,-1,-5,-48
162,-4,-24,-33,26,-56,-4,-3,-49
163,-3,-24,-37,28,-56,-7,-2,-49
