Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,-3,1,-5,-3,2,5,-3,-3
2,-3,1,-5,-3,2,4,-2,-3
3,-3,1,-4,-3,2,4,-2,-3
4,-4,0,-4,-3,2,6,-2,-3
5,-4,-1,-4,-4,2,8,-3,-2
6,-4,-2,-5,-4,1,10,-3,-2
7,-4,-2,-4,-4,1,11,-4,-2
8,-4,-2,-3,-3,1,12,-4,-1
9,-4,-1,-3,-3,1,13,-3,-1
10,-4,-1,-3,-2,1,12,-3,-1
11,-4,0,-3,-2,1,11,-3,-1
12,-5,0,-3,-2,0,9,-3,-1
13,-5,1,-3,-3,0,9,-3,-1
14,-5,1,-2,-4,-1,9,-3,-1
15,-4,1,0,-5,-1,10,-3,0
16,-4,2,0,-6,-2,9,-3,1
17,-3,4,0,-5,-2,8,-1,1
18,-2,5,-1,-5,-2,5,-1,2
19,-2,5,-2,-5,-2,2,-1,2
20,-2,3,-3,-5,-2,2,-1,1
21,-3,1,-2,-5,-2,3,-2,0
22,-3,-2,-1,-6,-3,5,-4,-1
23,-3,-4,0,-6,-3,6,-5,-1
24,-3,-5,0,-6,-4,7,-5,-2
25,-3,-6,1,-6,-4,8,-6,-2
26,-3,-6,1,-6,-4,8,-6,-2
27,-3,-6,3,-6,-5,9,-6,-2
28,-3,-6,4,-5,-5,9,-6,-1
29,-3,-5,5,-4,-5,9,-5,0
30,-2,-3,5,-3,-4,9,-3,1
31,-1,-2,3,-1,-3,10,-1,2
32,0,-1,1,-1,-2,10,1,3
33,1,-1,0,0,-1,11,2,4
34,2,0,-2,0,-1,11,2,4
35,2,0,-4,0,0,12,2,4
36,2,0,-5,0,0,12,2,4
37,2,0,-5,0,0,12,2,4
38,3,0,-5,0,0,12,2,3
39,3,0,-5,0,-1,13,2,3
40,4,0,-5,0,-1,12,2,3
41,3,0,-5,0,-1,11,1,2
42,3,0,-6,-1,-1,11,1,1
43,2,0,-6,-1,-1,10,1,0
44,2,-1,-6,-1,-1,10,1,-1
45,1,-1,-5,-1,-1,10,0,-1
46,0,-2,-3,-1,-2,10,-1,-2
47,0,-3,-1,-1,-2,11,-2,-2
48,-1,-4,1,-2,-2,11,-3,-3
49,-3,-4,3,-3,-1,12,-4,-3
50,-4,-4,4,-5,1,13,-5,-3
51,-5,-4,4,-5,2,14,-5,-2
52,-5,-3,3,-5,2,14,-5,-1
53,-4,-2,1,-4,3,13,-5,0
54,-2,-1,-1,-3,3,14,-4,1
55,0,1,-2,-2,3,14,-4,2
56,1,2,-3,-2,3,15,-3,3
57,1,2,-3,-2,3,14,-3,3
58,1,2,-3,-2,3,13,-4,2
59,0,2,-3,-2,2,12,-4,2
60,-1,2,-2,-3,1,11,-5,1
61,-2,2,-1,-3,0,11,-5,0
62,-3,2,0,-4,0,11,-5,-1
63,-3,2,-1,-3,0,11,-4,-1
64,-2,2,-2,-3,-1,10,-3,-1
65,-1,2,-3,-2,-1,9,-1,0
66,0,2,-3,-2,-1,9,-1,0
67,1,2,-3,-2,-1,10,0,0
68,2,2,-3,-2,-1,11,-1,1
69,2,1,-3,-2,0,11,-1,1
70,3,1,-3,-2,0,12,0,2
71,3,1,-3,-2,1,12,1,2
72,4,-1,-2,-1,1,12,2,2
73,5,-2,0,-1,0,13,3,2
74,6,-5,2,-2,-1,13,2,1
75,7,-8,4,-2,-1,13,0,1
76,9,-10,5,-3,-1,13,-2,0
