Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,2,1,-8,4,2,-9,-1,-1
2,1,2,-6,3,2,-6,-1,-1
3,0,2,-5,3,2,-5,-2,0
4,-2,4,-5,2,3,-6,-2,0
5,-4,5,-6,1,3,-8,-3,0
6,-5,6,-9,-1,2,-12,-3,-1
7,-6,6,-12,-2,1,-15,-4,-2
8,-6,5,-14,-3,0,-18,-4,-3
9,-6,4,-16,-4,-1,-18,-5,-3
10,-6,3,-14,-5,-1,-15,-5,-4
11,-5,2,-9,-4,-1,-7,-5,-4
12,-4,3,-3,-3,-1,4,-4,-4
13,-3,4,2,-2,-1,14,-3,-3
14,-1,5,4,0,-1,21,-2,-2
15,-1,5,3,1,0,21,-1,-2
16,0,4,1,2,0,16,0,-1
17,0,4,-2,2,1,10,-1,-1
18,0,3,-3,1,2,6,-1,-1
19,-1,3,-3,0,2,4,-2,-1
20,-2,3,-4,0,3,-3,-2,-1
21,-3,3,-7,0,3,-12,-2,-1
22,-4,3,-9,1,4,-22,-2,-1
23,-5,2,-11,1,4,-28,-2,-1
24,-5,1,-11,1,4,-30,-2,-1
25,-5,0,-8,0,4,-25,-2,-2
26,-6,0,-5,-1,4,-16,-3,-3
27,-6,0,-2,-2,3,-8,-3,-3
28,-6,1,-1,-3,3,-4,-3,-4
29,-5,2,-2,-3,3,-3,-3,-4
30,-5,3,-2,-2,3,-1,-2,-4
31,-5,3,-1,-2,2,1,-2,-4
32,-5,3,0,-1,2,3,-2,-4
33,-5,3,2,-1,3,5,-3,-4
34,-5,3,3,1,3,7,-3,-4
35,-4,4,4,1,3,8,-3,-3
36,-3,4,3,3,3,7,-2,-2
37,-1,5,1,4,2,6,0,-2
38,1,6,0,5,1,6,2,-2
39,3,6,-1,7,-1,8,3,-2
40,4,5,-1,7,-1,9,4,-2
41,5,5,-1,8,-1,7,5,-1
42,5,5,-2,9,-1,5,6,0
43,5,5,-2,9,0,4,6,2
44,5,5,-1,10,0,4,6,3
45,5,4,0,11,1,5,6,4
46,4,4,2,12,1,6,6,4
47,4,4,2,13,2,4,6,4
48,5,4,1,13,3,0,6,4
49,5,4,0,13,3,-5,5,3
50,4,3,-1,12,3,-5,4,2
51,4,2,-1,10,2,-3,2,1
52,3,1,0,8,2,0,1,-1
53,2,0,1,6,1,2,0,-2
54,2,-1,2,5,0,5,-1,-3
55,2,-2,3,3,0,7,-2,-3
56,2,-2,2,2,0,9,-3,-4
57,3,-2,1,1,0,8,-4,-4
58,4,-3,1,1,0,8,-4,-3
59,5,-3,-1,0,1,8,-5,-3
60,6,-3,-2,1,1,7,-4,-2
61,7,-3,-3,3,2,4,-3,-1
62,7,-2,-4,5,2,2,-1,0
63,7,-1,-5,6,3,-2,0,1
64,6,0,-5,6,3,-4,0,1
65,5,1,-4,5,2,-4,-1,1
66,4,0,-2,3,1,1,-3,1
67,4,0,1,1,1,6,-4,0
68,3,-1,2,-1,0,10,-4,-1
69,3,-1,2,-2,-1,10,-3,-2
70,3,-1,2,-2,-1,11,-3,-3
71,3,-1,3,-2,-2,12,-2,-3
72,2,-1,6,-2,-2,16,-1,-3
73,2,-1,8,-3,-3,21,-1,-4
74,2,-1,10,-3,-3,23,-1,-3
75,3,-2,10,-2,-3,23,0,-3
76,4,-2,10,-1,-2,22,1,-3
77,5,-3,10,0,-2,20,1,-3
78,5,-4,10,1,-2,19,2,-2
79,4,-5,9,1,-2,18,1,-2
80,3,-5,9,1,-2,17,1,-3
81,2,-5,8,0,-2,18,-1,-3
82,1,-4,7,-1,-2,18,-2,-2
83,0,-3,5,-2,-2,16,-2,-1
84,0,-1,3,-2,-1,13,-2,0
85,0,1,2,-2,0,8,-2,1
86,0,2,2,-2,1,5,-2,1
87,1,2,3,-2,2,6,-2,2
88,0,2,5,-2,2,11,-2,2
89,0,2,7,-2,2,16,-2,1
90,-1,1,7,-2,2,18,-2,0
91,-1,0,7,-2,2,20,-2,-2
92,-1,-1,7,-2,2,21,-3,-3
93,-1,-3,8,-1,2,24,-3,-4
94,-1,-4,9,-1,1,27,-3,-5
95,0,-5,10,0,1,28,-3,-6
96,1,-5,10,1,0,27,-2,-6
97,1,-5,9,2,0,24,-1,-5
98,2,-4,6,3,-1,19,-1,-4
99,2,-4,4,3,-1,14,-1,-4
100,2,-5,3,2,-1,11,-2,-3
101,2,-7,3,1,-2,11,-3,-3
102,3,-9,3,-1,-2,10,-4,-3
103,4,-12,2,-2,-1,5,-4,-3
104,6,-13,0,-2,-1,-1,-4,-2
105,7,-13,-2,-2,-1,-8,-4,-1
106,7,-13,-4,0,-1,-14,-3,0
107,7,-11,-5,1,-2,-17,-3,0
108,6,-9,-5,2,-2,-15,-2,0
109,5,-7,-3,2,-1,-9,-2,0
110,4,-5,-2,2,-1,-4,-1,0
111,3,-3,-2,1,0,-2,-1,1
112,3,-2,-2,1,1,-3,-1,1
113,3,0,-2,1,2,-4,-1,2
114,2,2,-2,1,3,-3,-1,2
115,0,3,-2,0,3,-3,-2,2
116,-2,3,-2,-1,4,-3,-2,2
117,-4,3,-2,-2,4,-2,-2,2
118,-5,3,-2,-3,4,1,-2,1
119,-6,3,-1,-4,3,3,-2,1
120,-6,3,0,-4,3,2,-1,2
121,-5,4,-1,-4,3,1,-1,3
122,-5,4,-1,-4,2,1,-1,3
123,-5,5,-1,-4,2,1,-2,4
124,-5,5,-2,-4,2,1,-2,3
125,-6,4,-1,-5,2,4,-3,2
126,-6,3,-1,-7,2,8,-4,0
127,-7,1,0,-8,1,10,-5,-2
128,-8,1,-1,-9,0,11,-5,-3
129,-9,1,-2,-10,-1,11,-5,-3
130,-9,0,-3,-9,-2,14,-5,-3
131,-8,1,-4,-9,-2,17,-5,-3
132,-7,0,-4,-8,-1,19,-4,-3
133,-6,0,-4,-7,0,19,-3,-3
134,-4,0,-4,-5,1,17,-2,-2
135,-3,0,-4,-4,3,13,-1,-1
136,-2,0,-4,-3,4,10,-1,0
137,-2,1,-4,-2,5,9,-1,1
138,-1,1,-4,-2,6,8,-1,1
139,0,1,-5,-2,6,6,-1,1
140,1,1,-7,-2,5,3,-1,1
