Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,1,-1,36,5,3,65,6,3
2,-1,-2,37,4,3,66,3,4
3,-3,-3,39,2,3,64,1,4
4,-5,-4,40,1,3,62,-1,4
5,-6,-5,40,-2,2,59,-2,4
6,-6,-6,38,-4,1,57,-2,3
7,-6,-7,34,-5,0,57,-2,1
8,-6,-9,30,-7,-2,57,-2,0
9,-6,-10,25,-7,-3,57,-1,-2
10,-6,-10,22,-7,-4,56,0,-3
11,-5,-10,20,-7,-5,55,0,-4
12,-6,-9,18,-7,-5,54,0,-5
13,-6,-7,18,-6,-5,54,-1,-5
14,-7,-5,17,-7,-4,53,-1,-5
15,-6,-4,16,-7,-4,52,-2,-5
16,-6,-3,14,-8,-3,51,-2,-5
17,-5,-2,12,-8,-3,50,-2,-5
18,-3,-1,11,-7,-3,50,-1,-5
19,-2,1,10,-6,-3,50,1,-5
20,-1,2,8,-5,-2,49,2,-4
21,-1,3,7,-3,0,48,3,-3
22,0,4,8,-2,1,48,3,-1
23,1,4,9,-1,3,48,4,1
24,1,3,11,1,3,49,4,2
25,1,3,14,3,3,50,4,2
26,1,2,16,4,3,49,4,3
27,0,2,16,5,4,48,4,3
28,-1,2,14,5,4,45,4,3
29,-3,3,11,5,4,43,5,3
30,-4,3,8,5,4,40,6,3
31,-5,2,4,4,3,38,7,2
32,-5,2,2,3,2,36,7,0
33,-5,2,2,1,1,35,8,-1
34,-4,2,4,-1,0,34,7,-2
35,-4,1,6,-3,-2,35,7,-3
36,-5,1,7,-5,-3,36,6,-4
37,-5,-1,7,-7,-5,37,4,-5
38,-5,-2,5,-7,-6,36,3,-6
39,-5,-3,3,-8,-7,35,2,-7
40,-4,-4,1,-8,-7,35,2,-7
41,-3,-4,0,-8,-7,35,2,-7
42,-3,-3,0,-7,-7,34,2,-7
43,-3,-1,0,-6,-6,34,2,-6
44,-3,1,-1,-6,-6,33,3,-5
45,-3,2,-1,-5,-4,32,3,-5
46,-3,2,-1,-5,-3,31,3,-4
47,-3,2,1,-5,-1,31,3,-3
48,-2,2,2,-5,1,31,3,-2
49,-2,1,3,-5,2,31,3,-1
50,-2,1,6,-3,3,32,3,0
51,-2,1,8,-2,3,33,3,2
52,-4,1,10,-1,3,34,2,2
53,-6,1,11,0,2,34,0,2
54,-7,1,12,0,1,33,-1,2
55,-8,1,11,-1,-1,31,-2,1
56,-8,1,9,-2,-3,28,-2,1
57,-7,0,5,-2,-4,25,-1,0
58,-5,-1,0,-3,-6,23,1,-1
59,-4,-3,-4,-3,-7,22,2,-3
60,-3,-5,-6,-3,-8,22,2,-4
61,-2,-6,-7,-3,-8,21,3,-5
62,-2,-5,-7,-2,-8,21,3,-5
63,-3,-4,-7,-1,-8,20,3,-5
64,-4,-3,-5,0,-7,21,3,-4
65,-4,-2,-4,1,-7,22,2,-4
66,-5,-2,-6,1,-7,21,0,-4
67,-5,-2,-9,0,-7,18,-1,-4
68,-4,-3,-11,0,-7,17,-2,-5
69,-3,-3,-11,0,-7,17,-1,-5
70,-2,-2,-8,1,-6,18,0,-5
71,-1,-2,-5,2,-5,18,1,-4
72,-1,-2,-2,3,-3,17,2,-3
73,0,-2,2,4,-2,16,3,-1
74,0,-1,4,5,0,15,3,2
75,-1,1,7,6,2,15,2,5
76,-1,2,10,6,3,17,2,7
77,-1,2,12,5,4,20,1,8
78,-1,2,12,4,4,23,1,8
79,-1,2,8,3,4,24,0,8
80,0,1,4,1,3,25,0,7
81,0,0,2,-1,1,25,-1,6
82,0,-1,1,-2,-1,25,-1,5
83,0,-2,-1,-3,-3,23,-3,4
84,0,-3,-4,-5,-5,21,-4,3
85,-1,-4,-6,-6,-6,18,-5,1
86,-1,-4,-9,-6,-7,16,-5,1
87,0,-3,-10,-6,-7,15,-5,1
88,2,-3,-11,-6,-8,15,-4,1
89,3,-2,-11,-5,-8,15,-2,2
90,3,-1,-11,-4,-8,14,-1,1
91,3,-1,-12,-4,-9,13,0,1
92,3,-1,-13,-5,-9,11,0,0
93,2,-1,-13,-5,-9,8,-1,-1
94,2,-1,-13,-4,-9,6,-2,-1
95,1,0,-13,-3,-9,6,-3,0
96,0,2,-12,-2,-9,6,-3,0
97,-1,3,-10,-1,-8,6,-3,1
98,-3,5,-9,0,-7,7,-2,2
99,-4,5,-8,1,-5,7,-2,2
100,-4,6,-7,1,-4,7,-1,2
101,-3,6,-5,2,-2,7,0,3
102,-3,7,-5,3,-2,7,1,3
103,-2,7,-6,4,-1,5,2,4
104,-2,7,-8,5,-1,2,3,5
105,-1,6,-10,5,-1,-2,4,5
106,0,5,-13,5,-1,-5,5,5
107,0,4,-15,4,-1,-7,6,4
108,0,3,-18,4,-2,-8,6,2
109,0,1,-20,4,-2,-9,6,0
110,0,0,-21,3,-2,-11,5,-1
111,0,-1,-22,2,-1,-11,4,-2
112,0,-2,-22,1,-1,-11,3,-2
113,0,-2,-22,0,-1,-11,2,-2
114,-1,-1,-23,0,-1,-10,1,-2
115,-2,-1,-24,1,-1,-9,1,-2
116,-2,0,-23,2,-1,-8,1,-3
117,-3,1,-21,2,-1,-6,1,-3
118,-3,1,-18,2,0,-5,2,-4
119,-3,1,-17,2,0,-5,1,-5
120,-3,2,-19,2,-1,-6,1,-6
121,-3,2,-21,2,-1,-7,1,-7
122,-3,2,-22,2,-1,-7,1,-6
123,-3,2,-20,3,-1,-7,1,-5
