Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,3,-7,66,-2,2,11,-4,-2
2,3,-6,61,-1,1,12,-4,-2
3,3,-4,58,0,0,12,-3,-2
4,4,-4,57,1,-1,14,-3,-2
5,5,-3,59,0,-1,16,-3,-2
6,6,-4,59,0,-1,18,-2,-2
7,6,-4,53,-1,-1,18,-2,-1
8,6,-4,47,0,-1,18,-3,0
9,6,-4,45,0,-1,18,-3,1
10,7,-4,45,0,-1,17,-3,2
11,8,-4,44,0,-1,15,-3,2
12,10,-4,39,1,0,13,-2,1
13,12,-4,34,2,0,12,-1,1
14,13,-3,30,3,1,14,1,1
15,13,-2,28,4,1,16,2,1
16,12,0,27,5,2,19,3,2
17,10,1,26,4,2,19,4,2
18,8,1,26,3,2,19,4,2
19,6,1,26,2,1,20,4,1
20,6,0,25,2,2,22,4,2
21,5,-1,23,1,2,25,3,2
22,4,-2,21,0,3,28,3,1
23,3,-1,22,-1,4,29,3,1
24,1,-1,24,-2,5,28,3,0
25,-1,1,23,-3,7,25,3,0
26,-2,3,20,-4,8,23,4,1
27,-3,5,16,-3,8,22,4,2
28,-2,6,12,-2,8,22,4,2
29,-2,6,10,-1,7,20,4,2
30,-1,6,6,1,5,17,5,2
31,0,6,1,2,3,13,6,1
32,1,5,-3,2,2,9,7,1
33,1,4,-6,1,1,7,7,1
34,1,4,-6,0,-1,6,6,0
35,0,3,-6,0,-2,5,6,-1
36,0,3,-6,-1,-3,4,5,-2
37,0,2,-4,-1,-3,2,4,-3
38,0,2,-1,-2,-3,0,4,-4
39,-1,2,3,-2,-2,-1,4,-5
40,-2,2,7,-2,-2,-2,4,-6
41,-4,3,12,-3,-2,-1,4,-7
42,-6,3,16,-3,-2,0,4,-7
43,-8,4,18,-4,-2,1,3,-7
44,-9,3,21,-6,-3,1,2,-7
45,-10,3,26,-7,-3,3,2,-7
46,-10,2,32,-7,-3,4,1,-7
47,-9,1,38,-7,-3,6,2,-7
48,-8,1,38,-5,-2,6,3,-6
49,-7,1,35,-4,-1,6,4,-5
50,-6,1,32,-4,1,4,4,-5
51,-6,0,32,-4,2,2,3,-4
52,-6,-1,32,-4,2,0,3,-4
53,-6,0,31,-3,2,-1,2,-3
54,-6,1,27,-2,1,-1,3,-2
55,-6,2,23,-1,1,0,3,-2
56,-5,3,19,0,0,1,5,-1
57,-4,3,16,1,0,0,6,-1
58,-3,3,14,1,-1,-3,7,0
59,-1,2,15,0,-1,-6,6,0
60,1,2,17,-1,-1,-8,6,1
61,2,3,17,-1,-1,-9,6,1
62,3,3,16,-2,0,-8,5,2
63,2,4,13,-2,1,-7,4,2
64,2,4,12,-3,2,-5,3,2
65,0,4,11,-3,2,-3,2,2
66,-2,4,9,-4,2,-3,1,1
67,-3,4,7,-6,1,-2,0,0
68,-4,4,6,-7,1,-1,-1,-1
69,-4,3,7,-8,0,1,-2,-1
70,-3,3,9,-9,0,4,-2,0
71,-3,4,8,-8,-1,5,-2,0
72,-2,5,6,-7,-1,5,-1,-1
73,-2,7,3,-5,-1,5,-1,-1
74,-1,7,0,-4,-1,6,-1,-1
75,-1,7,1,-2,-1,7,-2,-1
76,0,6,3,-2,-1,7,-3,-1
77,0,5,5,-2,-1,8,-4,0
78,0,4,5,-3,0,8,-5,1
79,-1,4,2,-4,0,7,-6,2
80,-1,4,-1,-5,0,5,-6,2
81,-1,5,-2,-5,-1,3,-6,2
82,-2,5,0,-5,-1,1,-5,2
83,-2,5,2,-5,-2,-2,-4,1
84,-2,5,3,-4,-2,-5,-3,-1
85,-2,4,4,-3,-2,-7,-2,-1
86,-2,4,5,-2,-1,-7,-1,-2
87,-2,2,5,-2,-1,-7,-1,-2
88,-2,1,5,-2,-1,-7,-1,-2
89,-1,0,4,-1,-1,-8,0,-2
90,1,-1,5,-1,-1,-9,1,-3
91,2,-1,5,-1,0,-10,1,-3
