Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,-6,12,40,2,17,-47,3,11
2,-6,10,46,1,18,-46,2,9
3,-8,8,49,-1,19,-44,0,8
4,-8,6,50,-1,20,-43,-1,6
5,-9,6,49,-1,21,-43,-1,6
6,-8,5,46,0,21,-45,1,4
7,-6,5,44,1,21,-46,3,2
8,-5,4,43,2,21,-46,7,-1
9,-4,3,42,2,21,-43,10,-3
10,-3,3,42,1,21,-39,12,-5
11,-3,2,40,1,20,-36,13,-5
12,-3,1,39,1,19,-36,13,-5
13,-3,0,38,1,17,-36,11,-4
14,-4,-1,40,2,15,-38,10,-3
15,-5,-2,44,2,13,-42,9,-4
16,-5,-2,48,2,13,-47,8,-4
17,-6,-2,54,2,13,-49,7,-2
18,-6,-2,59,2,15,-46,7,0
19,-5,-2,64,2,17,-41,6,2
20,-4,-2,66,3,20,-36,6,5
21,-4,-2,65,4,20,-32,6,6
22,-4,-1,64,4,20,-32,6,6
23,-5,0,61,4,19,-35,5,6
24,-5,1,59,3,18,-39,4,5
25,-6,2,57,3,17,-40,4,4
26,-6,3,54,3,17,-38,4,4
27,-6,3,51,2,18,-34,4,4
28,-7,3,49,1,19,-29,4,3
29,-7,3,47,0,20,-26,3,3
30,-8,3,45,-2,21,-24,2,4
31,-8,3,43,-3,22,-25,1,4
32,-9,4,42,-4,23,-27,0,4
33,-9,3,42,-4,23,-29,-1,3
34,-9,0,43,-5,22,-32,-3,2
35,-10,-3,44,-7,21,-33,-4,-1
36,-11,-5,44,-7,21,-33,-5,-3
37,-11,-7,45,-8,20,-31,-5,-6
38,-11,-9,45,-9,19,-30,-5,-8
39,-11,-11,45,-8,18,-28,-4,-9
40,-10,-12,47,-8,16,-27,-4,-9
41,-9,-13,50,-8,15,-26,-4,-8
42,-9,-13,52,-8,14,-26,-4,-7
43,-9,-12,52,-8,14,-25,-4,-6
44,-9,-9,50,-8,14,-24,-4,-5
45,-8,-7,48,-7,14,-23,-4,-4
46,-8,-4,45,-5,15,-20,-3,-3
47,-7,-2,40,-3,16,-17,-2,-3
48,-7,-1,36,-1,17,-14,0,-2
49,-7,1,33,0,17,-14,0,-1
50,-6,2,31,1,17,-12,1,1
51,-6,3,30,0,17,-11,0,3
52,-5,5,28,0,17,-10,0,5
53,-4,7,28,-1,18,-11,-1,8
54,-4,8,27,-1,18,-12,-1,10
55,-5,10,27,-1,19,-14,-2,13
56,-5,11,28,-1,19,-16,-2,15
57,-6,11,30,-1,18,-16,-2,16
58,-6,10,31,-1,18,-12,-2,16
59,-6,8,31,-1,17,-8,-2,14
60,-6,6,30,-2,16,-5,-3,12
61,-5,5,27,-3,15,-4,-4,9
62,-5,4,24,-3,13,-6,-4,7
63,-3,4,22,-3,12,-10,-5,5
64,-2,4,20,-2,12,-14,-4,4
65,0,4,19,0,13,-15,-2,4
66,1,4,18,3,14,-14,-1,5
67,2,5,16,5,14,-11,0,5
68,2,5,15,5,13,-6,0,5
69,3,4,13,5,12,-1,1,4
70,3,4,11,5,10,1,1,3
71,2,2,10,5,10,1,1,1
72,2,1,12,4,10,-1,1,-2
73,0,-1,15,3,10,-4,1,-3
74,-1,-2,19,2,11,-6,0,-4
75,-1,-3,22,1,11,-6,-1,-4
76,-2,-5,23,1,10,-5,-1,-5
77,-1,-7,23,1,10,-7,-1,-5
78,-1,-7,21,2,10,-10,-1,-5
79,-1,-6,18,2,11,-12,0,-5
80,0,-4,14,2,11,-13,1,-5
81,1,-2,12,1,11,-11,1,-5
82,2,0,12,1,11,-10,1,-4
83,2,1,13,2,11,-10,0,-4
84,2,1,15,1,10,-12,-1,-4
85,1,-1,15,0,8,-17,-2,-6
86,1,-2,15,-1,6,-20,-4,-7
87,1,-3,13,-2,4,-20,-4,-8
88,1,-3,12,-2,4,-17,-3,-7
89,1,-2,11,-1,5,-13,-2,-6
90,1,-1,10,0,6,-12,-1,-4
91,1,1,10,1,7,-12,-1,-3
92,0,2,11,1,6,-14,-1,-2
93,-1,3,11,2,6,-16,-1,-2
94,-1,3,10,2,6,-17,0,-1
95,-3,3,7,3,5,-17,0,-1
96,-4,4,3,3,4,-17,-1,-2
97,-5,4,-2,3,4,-18,-1,-2
98,-5,4,-5,3,3,-19,-2,-3
99,-4,3,-5,3,4,-18,-2,-3
100,-3,3,-4,3,4,-17,-1,-2
101,-1,4,-3,4,4,-15,0,-2
102,0,4,-4,4,3,-13,1,-2
103,0,4,-4,4,2,-11,2,-3
104,0,4,-4,4,1,-11,1,-5
105,0,3,-4,4,0,-14,1,-6
106,0,3,-5,4,1,-17,2,-7
107,0,3,-8,4,3,-16,2,-6
108,0,4,-12,4,4,-10,2,-5
109,0,6,-16,3,5,-5,2,-3
110,0,8,-18,3,5,-2,2,-2
111,0,9,-17,4,4,-2,3,-2
112,0,9,-14,5,3,-5,3,-1
113,0,9,-11,6,2,-9,4,-1
114,1,8,-9,6,2,-11,4,0
115,1,8,-9,7,2,-9,4,0
116,1,8,-8,7,2,-7,4,1
117,1,9,-7,7,2,-4,4,1
118,1,10,-5,6,1,-1,4,0
119,1,11,-3,6,0,2,3,-1
120,1,12,0,6,-1,3,3,0
121,1,12,3,6,-1,5,3,1
122,1,12,5,6,-1,6,3,2
123,1,11,6,6,-2,6,3,2
124,1,10,5,6,-4,5,3,2
125,0,8,5,5,-6,4,2,1
126,0,7,4,5,-6,6,2,1
127,-1,6,3,5,-5,6,2,2
128,-1,6,2,5,-3,5,3,2
129,-1,7,1,5,-2,3,2,2
130,-1,8,3,4,-2,2,1,3
131,-2,9,5,3,-3,4,-1,3
132,-2,9,9,2,-4,7,-2,3
133,-3,8,13,1,-3,10,-3,3
134,-4,7,17,1,-3,12,-3,3
135,-4,5,17,1,-2,13,-3,3
136,-5,3,14,1,-2,12,-3,2
137,-5,1,8,1,-2,9,-3,2
138,-5,0,3,1,-2,5,-3,2
139,-5,-1,1,1,-1,1,-2,3
140,-4,0,1,1,1,-3,-1,3
141,-3,1,2,1,3,-5,-1,4
142,-3,3,2,1,5,-6,0,5
143,-2,6,2,1,6,-6,1,7
144,-2,8,2,2,8,-4,1,8
145,-1,9,3,3,9,-3,2,9
146,-1,9,4,4,10,-2,2,8
147,-1,9,6,4,9,0,2,7
148,0,8,8,4,8,3,2,5
149,1,9,8,4,7,6,3,5
150,1,10,8,5,8,10,3,6
151,1,11,7,5,9,12,4,7
152,1,11,7,4,9,13,4,8
153,2,11,5,4,9,13,3,8
154,2,11,4,3,9,10,4,7
155,3,10,3,2,9,7,4,7
156,3,10,4,2,9,5,4,6
157,3,10,4,2,9,5,4,6
158,3,9,4,3,8,5,4,6
159,3,9,2,3,7,7,4,7
160,3,8,0,3,5,8,4,7
161,3,7,-2,3,3,9,3,6
162,2,7,-3,3,1,9,3,6
163,1,6,-4,3,0,7,3,5
164,1,5,-2,3,0,5,2,4
165,1,4,0,2,0,4,2,3
166,2,3,1,2,0,3,2,2
167,2,3,2,2,0,2,1,1
168,1,3,3,2,1,4,1,1
169,0,3,4,3,1,8,1,0
170,-1,3,5,2,2,13,0,-1
171,-1,2,6,2,2,16,0,-2
172,-1,2,6,2,2,16,0,-3
173,-1,2,6,2,2,15,0,-4
174,0,2,5,2,1,13,-1,-4
175,0,2,2,1,0,11,-1,-4
176,0,2,1,-1,-1,9,-2,-3
177,-1,2,-1,-2,-1,9,-2,-2
178,-1,1,-1,-3,0,9,-2,-2
179,-1,-1,1,-3,1,6,-2,-2
180,-1,-2,3,-3,3,3,-2,-3
181,-2,-3,6,-2,6,1,-2,-3
182,-2,-2,9,-2,8,1,-1,-3
183,-3,0,9,-1,10,1,-1,-2
184,-3,1,6,-1,11,0,0,-1
185,-4,3,1,0,11,-2,0,1
186,-5,5,-5,2,11,-4,0,2
187,-6,6,-8,3,10,-5,1,2
188,-6,8,-9,5,10,-5,1,3
189,-7,10,-7,5,10,-5,2,4
190,-7,10,-6,5,11,-3,3,5
191,-6,10,-6,5,11,1,4,6
192,-7,10,-6,3,11,5,3,6
193,-7,8,-8,3,10,8,2,6
194,-8,7,-10,2,9,10,0,6
195,-9,5,-11,2,8,11,-1,6
196,-10,4,-12,2,7,9,-1,5
197,-9,3,-12,2,7,6,-2,3
198,-9,2,-13,1,6,3,-2,1
199,-8,2,-12,0,6,2,-2,-1
200,-7,1,-12,-1,5,3,-3,-3
201,-7,-1,-12,-2,4,4,-4,-3
202,-6,-2,-13,-3,3,4,-4,-4
203,-5,-3,-13,-3,2,3,-3,-5
204,-5,-3,-12,-3,2,2,-2,-7
205,-4,-2,-10,-3,2,2,-1,-8
206,-4,-1,-8,-3,2,2,-1,-10
207,-4,0,-7,-4,2,3,-1,-11
208,-4,1,-8,-5,1,5,-1,-12
209,-4,1,-11,-5,0,7,-1,-14
210,-3,0,-15,-5,-1,8,-1,-16
211,-2,-1,-18,-5,-1,5,-1,-17
212,-1,-1,-19,-5,-2,1,0,-17
213,1,-1,-19,-5,-1,-2,1,-17
214,1,-1,-17,-5,2,0,1,-16
215,1,1,-15,-5,4,6,2,-14
216,1,2,-13,-4,6,10,2,-12
217,0,3,-11,-4,8,12,3,-9
218,0,4,-8,-3,9,13,3,-7
219,0,3,-5,-4,10,11,3,-6
220,1,3,-3,-4,10,6,3,-4
221,1,3,-1,-5,10,0,3,-4
222,1,2,0,-5,9,-3,2,-4
223,1,1,1,-5,8,-5,2,-3
224,2,0,3,-4,7,-8,2,-3
225,2,-1,5,-4,7,-9,2,-4
226,3,-3,8,-3,7,-6,3,-5
227,2,-4,8,-3,7,0,3,-5
228,1,-4,7,-4,7,3,2,-5
229,0,-4,6,-5,7,2,0,-4
230,-1,-3,6,-5,7,-1,-2,-2
231,-1,-2,8,-6,7,-4,-3,-1
232,-1,-1,13,-6,6,-5,-3,0
233,0,-1,18,-5,6,-4,-2,0
234,0,-2,23,-4,7,-2,-1,-1
235,0,-3,26,-4,8,0,0,-2
236,0,-4,28,-4,10,-1,0,-4
237,-2,-4,29,-5,11,-2,0,-5
238,-3,-4,30,-5,12,-3,-1,-6
239,-4,-3,32,-6,12,-2,-2,-7
240,-5,-3,33,-6,12,1,-4,-6
