Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,4,11,-18,5,-6,1,3,8
2,3,11,-18,5,-7,-2,3,8
3,2,11,-18,6,-7,-5,4,8
4,1,10,-17,6,-7,-7,4,8
5,1,9,-17,5,-7,-8,4,8
6,0,8,-16,4,-7,-7,3,7
7,-1,7,-16,2,-7,-5,3,6
8,-1,7,-16,1,-7,-3,3,6
9,-1,6,-16,-1,-6,-1,2,6
10,-1,6,-16,-2,-5,0,1,6
11,-1,4,-14,-4,-4,1,-1,7
12,-1,3,-11,-5,-3,3,-3,8
13,-2,2,-7,-7,-3,4,-4,8
14,-3,2,-6,-7,-2,6,-5,7
15,-4,2,-7,-8,-3,7,-5,6
16,-4,1,-10,-8,-4,7,-6,6
17,-4,1,-15,-7,-5,7,-6,5
18,-4,-1,-19,-7,-7,6,-5,5
19,-3,-1,-22,-7,-9,5,-5,4
20,-2,-2,-23,-7,-11,3,-4,2
21,-1,-2,-22,-7,-12,1,-4,1
22,-1,-2,-20,-7,-12,-1,-4,0
23,-1,-2,-17,-6,-10,-3,-3,0
24,-1,-1,-14,-5,-8,-4,-3,0
25,-1,-1,-12,-4,-6,-3,-2,1
26,-1,-1,-11,-3,-4,-2,-1,2
27,-1,-1,-10,-2,-2,1,-1,2
28,-1,-1,-9,-1,-2,3,-1,2
29,-1,-1,-8,0,-2,4,-1,1
30,-1,-1,-6,1,-3,4,-1,0
31,-2,-1,-5,2,-3,3,-1,-1
32,-2,-1,-4,3,-3,2,-1,-2
33,-3,0,-5,3,-2,1,0,-2
34,-4,1,-6,3,-1,0,0,-2
35,-4,2,-8,3,-1,0,0,-1
36,-3,4,-9,2,-1,0,0,1
37,-3,5,-10,2,-1,1,0,2
38,-2,6,-10,2,-2,1,0,4
39,-2,6,-9,2,-2,1,-1,5
40,-1,6,-8,2,-2,1,-1,5
41,0,6,-7,1,-1,0,-1,5
42,1,6,-6,2,0,-1,-1,6
43,1,7,-5,2,1,-1,-1,6
44,1,8,-3,2,2,-1,0,7
45,0,9,-2,2,3,-2,1,7
46,-1,10,-1,3,5,-3,2,7
47,-2,10,-1,3,6,-4,3,7
48,-2,10,-1,3,7,-3,4,8
49,-3,11,-1,3,8,-3,4,8
50,-3,12,-2,3,8,-3,4,8
51,-4,13,-2,4,8,-3,3,8
52,-4,13,-2,5,7,-3,3,8
53,-4,13,-3,5,7,-4,2,8
54,-3,13,-3,6,7,-6,2,8
55,-3,12,-3,6,8,-6,2,8
56,-2,11,-4,6,10,-6,1,9
57,-2,10,-5,5,11,-6,1,9
58,-2,9,-7,4,12,-7,1,9
59,-1,7,-7,4,12,-6,1,8
60,-1,5,-7,3,12,-5,1,7
61,-1,3,-6,2,10,-3,0,6
62,-1,1,-6,1,8,-1,0,4
63,-2,-1,-5,-1,5,2,0,1
64,-3,-3,-4,-2,3,5,0,-2
65,-4,-4,-3,-3,2,6,0,-3
66,-4,-5,-2,-4,2,5,-1,-3
67,-4,-5,-2,-4,3,4,-1,-2
68,-3,-5,-3,-3,4,2,-1,0
69,-3,-3,-5,-2,5,0,-1,1
70,-2,-2,-6,0,6,0,0,2
71,-1,0,-6,2,8,0,1,2
72,-1,2,-5,4,9,0,2,3
73,-1,3,-5,5,10,-1,3,4
74,-1,4,-5,5,11,-1,3,5
75,-1,4,-5,5,12,-1,3,5
76,-1,3,-7,5,11,-2,3,6
77,-1,3,-10,4,11,-2,2,6
78,-1,3,-12,4,10,-2,1,7
79,-1,3,-14,4,9,-3,1,6
80,-2,4,-16,4,8,-5,2,6
81,-2,4,-17,4,8,-7,3,5
82,-2,5,-18,4,9,-10,3,4
83,-2,5,-17,4,10,-13,4,3
84,-3,5,-17,3,11,-14,4,2
85,-3,5,-16,2,12,-14,4,0
86,-3,6,-15,2,12,-11,4,0
87,-2,6,-13,2,12,-7,4,1
88,-2,7,-10,2,11,-3,4,2
89,-1,9,-8,3,10,0,4,3
90,1,11,-6,4,9,3,5,4
91,2,13,-4,6,8,6,6,5
92,4,16,-1,8,8,9,8,6
93,5,17,2,10,8,11,8,6
94,6,17,5,12,8,14,9,6
95,6,18,8,13,9,16,9,5
96,5,19,10,15,9,17,10,4
97,5,20,11,16,9,19,10,3
98,4,21,12,16,8,21,9,3
99,5,21,13,16,6,24,9,3
100,5,19,14,14,4,25,10,3
101,5,17,15,13,2,26,10,2
102,6,14,15,11,0,25,9,2
103,6,12,15,10,-1,24,9,2
104,6,10,14,9,-2,23,8,3
105,6,10,13,9,-2,23,8,5
106,6,9,13,9,-2,24,8,6
107,6,8,13,9,-3,26,8,6
108,6,7,14,9,-4,28,8,6
109,6,6,16,9,-5,31,8,5
110,6,6,16,8,-6,32,8,5
111,6,7,15,7,-7,34,7,4
112,5,8,14,6,-8,35,7,4
113,4,8,13,6,-10,35,7,3
114,2,9,12,5,-11,34,6,2
115,1,10,12,5,-11,32,6,0
116,0,10,13,5,-11,28,6,-1
117,-1,10,15,6,-11,24,6,-2
118,-2,10,16,8,-11,20,7,-3
119,-2,10,17,9,-11,16,8,-3
120,-2,9,17,11,-11,13,8,-2
121,-2,8,17,12,-11,11,8,-1
122,-2,7,17,12,-10,8,8,0
123,-3,6,16,11,-9,5,7,1
124,-5,6,15,10,-8,2,6,1
125,-6,6,14,8,-6,-3,4,1
126,-8,6,12,7,-5,-6,3,1
127,-9,6,10,6,-4,-8,1,1
128,-9,6,8,4,-4,-8,0,1
129,-9,6,6,3,-4,-6,-1,0
130,-8,5,4,2,-5,-4,-1,-1
131,-8,5,1,1,-6,-3,-1,-1
132,-7,4,-1,1,-7,-2,-1,-1
133,-7,4,-3,1,-7,-3,-1,-1
134,-6,3,-5,1,-6,-5,-2,-2
135,-6,2,-7,0,-6,-7,-2,-2
136,-6,1,-8,-1,-6,-9,-3,-3
137,-6,-1,-10,-1,-8,-11,-4,-5
138,-6,-2,-13,-2,-9,-13,-4,-6
139,-7,-3,-16,-3,-11,-16,-4,-8
140,-7,-3,-18,-3,-13,-19,-4,-8
141,-8,-3,-20,-2,-14,-22,-3,-8
142,-8,-2,-22,-1,-16,-24,-3,-8
143,-8,0,-25,0,-17,-24,-2,-7
144,-7,2,-27,1,-16,-24,-2,-6
145,-6,4,-30,2,-15,-23,-1,-4
146,-5,7,-32,3,-12,-22,1,-1
147,-4,9,-35,4,-8,-21,2,3
148,-3,10,-38,4,-5,-21,2,6
149,-2,11,-41,4,-2,-22,2,7
150,-2,9,-44,4,-1,-23,1,6
151,-2,7,-45,2,0,-24,0,3
152,-3,4,-46,1,-1,-25,-2,1
153,-5,1,-45,-1,-2,-24,-4,-2
154,-7,-2,-43,-3,-3,-22,-6,-5
155,-10,-4,-41,-4,-4,-21,-7,-7
156,-12,-5,-41,-5,-4,-21,-8,-9
157,-13,-6,-41,-7,-4,-20,-9,-11
158,-13,-6,-41,-8,-3,-20,-9,-12
159,-14,-6,-41,-8,-2,-18,-10,-12
160,-14,-7,-40,-9,-1,-16,-10,-12
161,-14,-7,-39,-9,0,-14,-11,-11
162,-15,-8,-38,-10,0,-12,-11,-11
163,-16,-9,-37,-10,-1,-11,-11,-10
164,-17,-9,-37,-11,-3,-9,-12,-10
165,-17,-8,-37,-12,-4,-6,-12,-10
166,-17,-7,-37,-13,-6,-4,-12,-10
167,-17,-6,-37,-14,-7,-2,-11,-10
168,-17,-6,-36,-13,-8,-2,-10,-10
169,-16,-6,-35,-12,-9,-3,-8,-9
170,-16,-5,-35,-10,-8,-6,-7,-8
171,-15,-5,-35,-8,-7,-9,-5,-7
172,-13,-4,-35,-6,-5,-13,-4,-6
173,-12,-3,-36,-5,-3,-16,-2,-6
174,-11,-2,-36,-4,0,-19,-1,-6
175,-9,-1,-35,-3,3,-21,0,-5
176,-8,1,-34,-2,6,-22,1,-4
177,-6,2,-32,0,8,-24,3,-2
178,-5,4,-29,2,9,-24,3,-1
179,-4,5,-26,4,9,-24,4,0
180,-4,6,-22,4,8,-24,3,2
181,-5,7,-17,4,7,-21,2,3
182,-6,8,-13,3,6,-18,2,3
183,-6,7,-9,2,6,-14,1,3
184,-6,6,-6,0,5,-12,0,3
185,-6,4,-4,-1,5,-12,-1,1
186,-5,2,-1,-2,6,-12,-1,0
187,-4,0,0,-3,6,-14,-1,0
188,-3,-2,1,-2,7,-17,-1,-1
189,-3,-4,0,-2,7,-20,0,-2
190,-3,-6,-2,-1,6,-23,1,-3
191,-3,-6,-4,0,5,-27,1,-5
192,-3,-6,-5,1,5,-29,2,-7
193,-3,-5,-6,2,4,-30,2,-7
194,-2,-4,-6,2,3,-30,2,-8
195,-2,-2,-7,2,2,-28,2,-7
196,-3,0,-8,2,1,-25,2,-7
197,-3,1,-8,2,0,-22,2,-6
198,-3,2,-7,1,0,-19,2,-6
199,-3,2,-4,1,1,-16,2,-7
200,-3,3,-1,0,2,-14,2,-7
201,-3,3,2,-1,2,-12,2,-7
202,-4,3,4,-1,2,-10,0,-6
203,-4,3,5,-2,2,-8,-1,-5
204,-5,1,6,-4,2,-7,-2,-5
205,-6,-1,8,-5,2,-6,-3,-4
206,-6,-3,10,-5,1,-7,-4,-4
207,-6,-4,11,-6,-1,-9,-3,-4
208,-6,-5,12,-6,-3,-11,-3,-4
209,-6,-5,11,-6,-4,-12,-3,-4
210,-6,-4,9,-5,-6,-11,-2,-4
211,-6,-3,8,-5,-8,-9,-1,-4
212,-6,-2,6,-5,-9,-7,-2,-3
213,-7,-1,5,-4,-9,-6,-2,-3
214,-8,1,3,-4,-8,-6,-3,-2
215,-9,3,1,-4,-7,-7,-4,0
216,-9,5,-2,-3,-5,-8,-4,1
217,-9,6,-4,-3,-3,-9,-4,2
