Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
1,-13,1,-149,-7,-5,-31,-11,-4
2,-14,1,-148,-7,-5,-33,-11,-5
3,-15,1,-146,-8,-5,-34,-12,-5
4,-17,2,-145,-9,-5,-35,-13,-5
5,-17,3,-145,-10,-4,-36,-13,-5
6,-18,4,-147,-11,-4,-38,-14,-4
7,-19,5,-148,-12,-4,-37,-15,-4
8,-20,5,-149,-13,-4,-36,-16,-4
9,-20,5,-149,-15,-4,-36,-17,-5
10,-21,3,-147,-16,-4,-36,-18,-6
11,-21,0,-144,-18,-4,-33,-19,-7
12,-21,-3,-141,-18,-4,-28,-20,-8
13,-21,-5,-140,-19,-5,-23,-19,-9
14,-21,-7,-139,-19,-5,-20,-18,-9
15,-21,-7,-140,-19,-6,-19,-18,-10
16,-21,-8,-142,-18,-6,-22,-17,-11
17,-20,-8,-143,-18,-6,-26,-17,-12
18,-20,-8,-145,-17,-5,-30,-18,-11
19,-20,-7,-147,-16,-5,-33,-18,-10
20,-21,-5,-150,-16,-5,-37,-18,-8
21,-21,-3,-152,-15,-4,-40,-18,-6
22,-21,-1,-155,-15,-4,-45,-18,-5
23,-21,0,-160,-14,-4,-53,-18,-4
24,-21,0,-164,-14,-4,-62,-18,-4
25,-21,0,-160,-13,-3,-56,-17,-4
26,-20,0,-145,-13,-3,-23,-17,-4
27,-19,-1,-138,-12,-2,3,-17,-4
28,-17,-1,-160,-11,0,-41,-19,-5
29,-16,-2,-192,-11,2,-132,-22,-5
30,-16,-2,-194,-10,2,-163,-23,-4
31,-17,-1,-158,-10,1,-91,-23,-3
32,-18,-1,-121,-11,0,9,-23,-3
33,-20,-1,-112,-11,0,53,-23,-3
34,-22,-1,-125,-12,0,39,-24,-3
35,-24,-1,-137,-14,0,14,-24,-4
36,-25,-1,-138,-15,-1,12,-25,-4
37,-27,-1,-126,-16,-2,39,-25,-5
38,-28,-2,-110,-17,-3,85,-26,-5
39,-30,-2,-100,-17,-4,118,-28,-6
40,-31,-2,-105,-18,-5,110,-29,-6
41,-31,-2,-118,-18,-5,73,-31,-6
42,-32,-1,-122,-19,-5,49,-31,-5
43,-32,1,-110,-19,-5,66,-30,-5
44,-32,2,-95,-20,-5,104,-30,-5
45,-31,3,-94,-20,-4,118,-28,-5
